item_id,store_id,dept_id,cat_id,state_id,mean_demand,std_demand,total_demand,zero_days,zero_percentage,cv
HOBBIES_1_001,CA_1,HOBBIES_1,HOBBIES,CA,0.31364349189754315,0.6852502768136255,600,1492,77.99268165185572,2.1848062992407757
HOBBIES_1_002,CA_1,HOBBIES_1,HOBBIES,CA,0.25771040250914795,0.569421627013932,493,1511,78.9858860428646,2.209540714964811
HOBBIES_1_003,CA_1,HOBBIES_1,HOBBIES,CA,0.1505488761108207,0.4865566850660561,288,1697,88.70883429168845,3.231885203233907
HOBBIES_1_004,CA_1,HOBBIES_1,HOBBIES,CA,1.7187663355985363,1.9898666258252626,3288,617,32.25300575013069,1.1577295788332505
HOBBIES_1_005,CA_1,HOBBIES_1,HOBBIES,CA,0.9665446941975954,1.2944722475996735,1849,950,49.66021955044433,1.3392782096582885
HOBBIES_1_006,CA_1,HOBBIES_1,HOBBIES,CA,0.858337689492943,1.571951042643136,1642,1261,65.91740721380032,1.8313899784265038
HOBBIES_1_007,CA_1,HOBBIES_1,HOBBIES,CA,0.2216414009409305,0.5041792109744186,424,1559,81.49503397804494,2.2747519589482614
HOBBIES_1_008,CA_1,HOBBIES_1,HOBBIES,CA,7.229482488238369,9.116294700866462,13830,535,27.966544694197598,1.2609885584061853
HOBBIES_1_009,CA_1,HOBBIES_1,HOBBIES,CA,1.1860951385258756,2.0150778573739423,2269,1033,53.998954521693676,1.6989175589053995
HOBBIES_1_010,CA_1,HOBBIES_1,HOBBIES,CA,0.7192890747516989,0.9216872810838487,1376,996,52.06481965499216,1.2813864598207867
HOBBIES_1_011,CA_1,HOBBIES_1,HOBBIES,CA,0.07422895974908521,0.2887893932588303,142,1784,93.25666492420282,3.890521896508045
HOBBIES_1_012,CA_1,HOBBIES_1,HOBBIES,CA,0.3941453214845792,0.6495953148021334,754,1315,68.7401986408782,1.6481111899422827
HOBBIES_1_013,CA_1,HOBBIES_1,HOBBIES,CA,0.25771040250914795,0.5657357058669562,493,1523,79.6131730266597,2.1952381446723876
HOBBIES_1_014,CA_1,HOBBIES_1,HOBBIES,CA,1.2535284892838474,1.5725214080630454,2398,852,44.537375849451124,1.2544760023455404
HOBBIES_1_015,CA_1,HOBBIES_1,HOBBIES,CA,6.064819654992159,7.353377186536815,11602,373,19.49817041296393,1.2124642783869097
HOBBIES_1_016,CA_1,HOBBIES_1,HOBBIES,CA,5.5279665446941975,7.7581362942644025,10575,393,20.543648719289077,1.403434017109012
HOBBIES_1_017,CA_1,HOBBIES_1,HOBBIES,CA,1.050182958703607,1.464571573289203,2009,963,50.33978044955567,1.3945870680449206
HOBBIES_1_018,CA_1,HOBBIES_1,HOBBIES,CA,0.04600104547830632,0.23316979375247335,88,1834,95.87036069001567,5.068793357369109
HOBBIES_1_019,CA_1,HOBBIES_1,HOBBIES,CA,4.731834814427601,7.64700529550203,9052,995,52.0125457396759,1.616076130169618
HOBBIES_1_020,CA_1,HOBBIES_1,HOBBIES,CA,0.3214845791949817,0.6142004121916059,615,1422,74.33350757971772,1.9105128268659222
HOBBIES_1_021,CA_1,HOBBIES_1,HOBBIES,CA,0.6596968112911658,1.0568224814986131,1262,1155,60.37637219027705,1.601982097549007
HOBBIES_1_022,CA_1,HOBBIES_1,HOBBIES,CA,0.3413486670151594,0.6271820988890616,653,1396,72.97438578149503,1.8373650155815848
HOBBIES_1_023,CA_1,HOBBIES_1,HOBBIES,CA,1.123366440146367,1.40025504254264,2149,896,46.83742812336644,1.2464811058092464
HOBBIES_1_024,CA_1,HOBBIES_1,HOBBIES,CA,0.24411918452692108,0.5994228137441862,467,1573,82.22686879247256,2.4554514832818586
HOBBIES_1_025,CA_1,HOBBIES_1,HOBBIES,CA,0.47412441191845267,0.9235893796780884,907,1360,71.09252483010977,1.9479895075239064
HOBBIES_1_026,CA_1,HOBBIES_1,HOBBIES,CA,0.01097752221641401,0.11832484900465562,21,1894,99.00679560899111,10.7788302926622
HOBBIES_1_027,CA_1,HOBBIES_1,HOBBIES,CA,0.19236800836382645,0.5532372270125794,368,1650,86.25196027182436,2.8759315632474576
HOBBIES_1_028,CA_1,HOBBIES_1,HOBBIES,CA,0.7009932043910089,0.9721455676290882,1341,1068,55.82854155776268,1.3868116859615554
HOBBIES_1_029,CA_1,HOBBIES_1,HOBBIES,CA,1.4704652378463148,1.5007984774950383,2813,631,32.98484056455829,1.0206283282787088
HOBBIES_1_030,CA_1,HOBBIES_1,HOBBIES,CA,2.92681651855724,4.764306483873525,5599,930,48.61474124411919,1.6278118063314972
HOBBIES_1_031,CA_1,HOBBIES_1,HOBBIES,CA,0.35075797177208573,0.6109365028658487,671,1359,71.04025091479352,1.741760849452114
HOBBIES_1_032,CA_1,HOBBIES_1,HOBBIES,CA,5.56299006795609,8.580246961290776,10642,695,36.33037114479875,1.5423804206868308
HOBBIES_1_033,CA_1,HOBBIES_1,HOBBIES,CA,0.16832200731834815,0.4685731890490034,322,1656,86.5656037637219,2.783790405747651
HOBBIES_1_034,CA_1,HOBBIES_1,HOBBIES,CA,0.4830109775222164,0.8598730861306324,924,1305,68.21745948771563,1.7802350798353894
HOBBIES_1_035,CA_1,HOBBIES_1,HOBBIES,CA,0.14009409304756926,0.4119392239108398,268,1684,88.0292733925771,2.9404467736620767
HOBBIES_1_036,CA_1,HOBBIES_1,HOBBIES,CA,0.6419236800836383,1.1620115208150594,1228,1230,64.29691583899634,1.8102019864162935
HOBBIES_1_037,CA_1,HOBBIES_1,HOBBIES,CA,0.7553580763199164,1.008205762572803,1445,1029,53.78985886042864,1.3347388400012263
HOBBIES_1_038,CA_1,HOBBIES_1,HOBBIES,CA,0.3951907997909043,0.6656687876194128,756,1322,69.106116048092,1.6844237972433027
HOBBIES_1_039,CA_1,HOBBIES_1,HOBBIES,CA,0.10297961317302666,0.35185775359974186,197,1743,91.11343439623629,3.41677097784927
HOBBIES_1_040,CA_1,HOBBIES_1,HOBBIES,CA,0.6048092002090957,0.9802537230681541,1157,1231,64.34918975431259,1.6207652309674838
HOBBIES_1_041,CA_1,HOBBIES_1,HOBBIES,CA,0.30371144798745425,0.5957237997297871,581,1447,75.64035546262416,1.961479567784996
HOBBIES_1_042,CA_1,HOBBIES_1,HOBBIES,CA,0.5148980658651333,0.9032210506169952,985,1286,67.22425509670674,1.7541744871373723
HOBBIES_1_043,CA_1,HOBBIES_1,HOBBIES,CA,3.288029273392577,5.133077157392501,6290,675,35.2848928384736,1.56114095422764
HOBBIES_1_044,CA_1,HOBBIES_1,HOBBIES,CA,0.9519079979090433,1.1860361569487632,1821,864,45.16466283324621,1.245956709633709
HOBBIES_1_045,CA_1,HOBBIES_1,HOBBIES,CA,0.13068478829064298,0.4683099694352637,250,1741,91.00888656560376,3.5835078861186376
HOBBIES_1_046,CA_1,HOBBIES_1,HOBBIES,CA,0.17407213800313642,0.5159759297344734,333,1671,87.34971249346576,2.9641500107569
HOBBIES_1_047,CA_1,HOBBIES_1,HOBBIES,CA,1.1667537898588605,1.8601476665968213,2232,1003,52.43073706220596,1.5942932285841036
HOBBIES_1_048,CA_1,HOBBIES_1,HOBBIES,CA,7.248823836905384,9.69664242923475,13867,741,38.73497124934658,1.3376849330876237
HOBBIES_1_049,CA_1,HOBBIES_1,HOBBIES,CA,0.30946157867224255,0.6088601160473537,592,1448,75.6926293779404,1.9674820979705872
HOBBIES_1_050,CA_1,HOBBIES_1,HOBBIES,CA,0.9351803450078411,1.0604043109633738,1789,811,42.39414532148458,1.1339035477210364
HOBBIES_1_051,CA_1,HOBBIES_1,HOBBIES,CA,0.1374803972817564,0.3992950479421668,263,1685,88.08154730789336,2.904378048339791
HOBBIES_1_052,CA_1,HOBBIES_1,HOBBIES,CA,0.06481965499215891,0.28376794800753524,124,1800,94.09304756926294,4.377807133374314
HOBBIES_1_053,CA_1,HOBBIES_1,HOBBIES,CA,0.0836382645060115,0.4257763507736929,160,1813,94.77260846837429,5.090688493937966
HOBBIES_1_054,CA_1,HOBBIES_1,HOBBIES,CA,0.10193413486670151,0.353644240441705,195,1744,91.16570831155254,3.4693406767434958
HOBBIES_1_055,CA_1,HOBBIES_1,HOBBIES,CA,1.6743335075797177,1.7414029378813514,3203,630,32.93256664924203,1.0400573899990713
HOBBIES_1_056,CA_1,HOBBIES_1,HOBBIES,CA,0.821745948771563,1.4665402331705322,1572,1244,65.02875065342394,1.7846637824778804
HOBBIES_1_057,CA_1,HOBBIES_1,HOBBIES,CA,0.6262415054887611,0.981460645227276,1198,1180,61.683220073183485,1.5672238850749407
HOBBIES_1_058,CA_1,HOBBIES_1,HOBBIES,CA,0.4474647151071615,0.7711353241912932,856,1294,67.6424464192368,1.7233433121237662
HOBBIES_1_060,CA_1,HOBBIES_1,HOBBIES,CA,0.18452692106638788,0.47415527005078056,353,1624,84.89283847360167,2.5695723274989892
HOBBIES_1_061,CA_1,HOBBIES_1,HOBBIES,CA,0.30266596968112913,0.6402456067834714,579,1468,76.73810768426556,2.1153537923605885
HOBBIES_1_062,CA_1,HOBBIES_1,HOBBIES,CA,0.06116048092002091,0.30326347663655717,117,1827,95.50444328280187,4.95848744278405
HOBBIES_1_063,CA_1,HOBBIES_1,HOBBIES,CA,0.17982226868792472,0.44939588666980546,344,1610,84.16100365917407,2.499111427905052
HOBBIES_1_064,CA_1,HOBBIES_1,HOBBIES,CA,1.5258755880815473,1.4462057481919868,2919,582,30.423418714061683,0.947787460188856
HOBBIES_1_065,CA_1,HOBBIES_1,HOBBIES,CA,0.08677469942498693,0.3081828573842008,166,1760,92.00209095661265,3.551528952867326
HOBBIES_1_066,CA_1,HOBBIES_1,HOBBIES,CA,0.2435964453737585,1.0737657253211186,466,1717,89.75431259801358,4.407969597723819
HOBBIES_1_067,CA_1,HOBBIES_1,HOBBIES,CA,5.188708834291688,8.241417372576654,9926,678,35.44171458442237,1.588336835960018
HOBBIES_1_068,CA_1,HOBBIES_1,HOBBIES,CA,0.9388395190799791,1.1896177930679515,1796,921,48.14427600627287,1.2671151660016655
HOBBIES_1_069,CA_1,HOBBIES_1,HOBBIES,CA,0.3847360167276529,0.6879241908129594,736,1354,70.77888133821223,1.7880420883494448
HOBBIES_1_070,CA_1,HOBBIES_1,HOBBIES,CA,0.08677469942498693,0.31820248932575157,166,1767,92.36800836382645,3.666996157109414
HOBBIES_1_072,CA_1,HOBBIES_1,HOBBIES,CA,0.5901725039205437,0.9166906674829066,1129,1166,60.951385258755884,1.5532588546455273
HOBBIES_1_073,CA_1,HOBBIES_1,HOBBIES,CA,0.39884997386304233,0.6406217029479329,763,1296,67.74699424986932,1.6061721071289587
HOBBIES_1_074,CA_1,HOBBIES_1,HOBBIES,CA,1.6001045478306326,1.8552593987803583,3061,744,38.89179299529535,1.159461362256395
HOBBIES_1_075,CA_1,HOBBIES_1,HOBBIES,CA,0.5838996340825928,0.9132864321100113,1117,1184,61.89231573444851,1.564115438340601
HOBBIES_1_076,CA_1,HOBBIES_1,HOBBIES,CA,0.5906952430737062,1.0771772675639981,1130,1280,66.9106116048092,1.8235753211061312
HOBBIES_1_077,CA_1,HOBBIES_1,HOBBIES,CA,0.2456874019864088,0.5733475989109823,470,1558,81.44276006272871,2.33364671641853
HOBBIES_1_078,CA_1,HOBBIES_1,HOBBIES,CA,1.948771562990068,2.0451211988991447,3728,597,31.20752744380554,1.0494412160660043
HOBBIES_1_079,CA_1,HOBBIES_1,HOBBIES,CA,1.0522739153162572,1.3383568518920947,2013,833,43.544171458442236,1.2718711662541367
HOBBIES_1_080,CA_1,HOBBIES_1,HOBBIES,CA,3.4328280188186096,6.684288798116078,6567,897,46.88970203868269,1.9471668144961256
HOBBIES_1_081,CA_1,HOBBIES_1,HOBBIES,CA,0.575013068478829,0.9904052318948408,1100,1274,66.59696811291165,1.7224047351043912
HOBBIES_1_082,CA_1,HOBBIES_1,HOBBIES,CA,0.138003136434919,0.417683873260377,264,1695,88.60428646105593,3.0266259452541706
HOBBIES_1_083,CA_1,HOBBIES_1,HOBBIES,CA,0.1955044432828019,0.4747171246514725,374,1598,83.53371667537898,2.4281653996210344
HOBBIES_1_084,CA_1,HOBBIES_1,HOBBIES,CA,0.865656037637219,1.0693704404696427,1656,937,48.98065865133299,1.235329500373446
HOBBIES_1_085,CA_1,HOBBIES_1,HOBBIES,CA,0.9357030841610037,1.3159568402948205,1790,1032,53.94668060637742,1.406382924851392
HOBBIES_1_086,CA_1,HOBBIES_1,HOBBIES,CA,1.0616832200731834,1.2011852105559053,2031,796,41.61003659174072,1.1313970003906682
HOBBIES_1_087,CA_1,HOBBIES_1,HOBBIES,CA,0.5614218504966022,0.8965977453868491,1074,1227,64.14009409304757,1.5970125576583263
HOBBIES_1_088,CA_1,HOBBIES_1,HOBBIES,CA,0.4495556717198118,0.9679438702434708,860,1433,74.90852064819656,2.1531123532276277
HOBBIES_1_089,CA_1,HOBBIES_1,HOBBIES,CA,1.6095138525875587,1.5981335295216905,3079,528,27.600627286983798,0.9929293413364709
HOBBIES_1_090,CA_1,HOBBIES_1,HOBBIES,CA,1.679038159958181,4.3476614109008125,3212,1413,73.8630423418714,2.589376176542109
HOBBIES_1_091,CA_1,HOBBIES_1,HOBBIES,CA,0.3355985363303711,1.3619427077381172,642,1687,88.18609513852587,4.058249844085698
HOBBIES_1_092,CA_1,HOBBIES_1,HOBBIES,CA,0.2284370099320439,0.49956729532925626,437,1539,80.4495556717198,2.186892988477957
HOBBIES_1_093,CA_1,HOBBIES_1,HOBBIES,CA,0.18818609513852588,0.4459563824608848,360,1594,83.32462101411396,2.3697626656879796
HOBBIES_1_094,CA_1,HOBBIES_1,HOBBIES,CA,0.3329848405645583,0.6917356802559026,637,1463,76.47673810768426,2.0773788953368
HOBBIES_1_095,CA_1,HOBBIES_1,HOBBIES,CA,0.13695765812859384,0.4091763166942475,262,1692,88.44746471510716,2.987611808534715
HOBBIES_1_097,CA_1,HOBBIES_1,HOBBIES,CA,0.5661265028750654,0.7694089038960443,1083,1100,57.5013068478829,1.3590759308893192
HOBBIES_1_098,CA_1,HOBBIES_1,HOBBIES,CA,0.45269210663878723,0.7591728582395955,866,1300,67.95608991113434,1.6770181037094067
HOBBIES_1_099,CA_1,HOBBIES_1,HOBBIES,CA,0.9654992158912703,1.3797176482284361,1847,1074,56.14218504966022,1.4290199572609628
HOBBIES_1_100,CA_1,HOBBIES_1,HOBBIES,CA,0.7119707266074229,0.9262263922424835,1362,1007,52.63983272347099,1.300933251365544
HOBBIES_1_102,CA_1,HOBBIES_1,HOBBIES,CA,0.11500261369576581,0.353330999906963,220,1715,89.64976476738109,3.0723736491910008
HOBBIES_1_103,CA_1,HOBBIES_1,HOBBIES,CA,4.151071615263984,5.217715052374604,7941,457,23.889179299529534,1.256956163605669
HOBBIES_1_104,CA_1,HOBBIES_1,HOBBIES,CA,0.10402509147935181,0.3394394582449174,199,1735,90.69524307370622,3.2630536865453617
HOBBIES_1_105,CA_1,HOBBIES_1,HOBBIES,CA,0.8384736016727653,1.086020031994689,1604,948,49.55567171981181,1.2952346142181048
HOBBIES_1_106,CA_1,HOBBIES_1,HOBBIES,CA,0.2775744903293257,0.6844079174789846,531,1550,81.02456874019865,2.465672968243498
HOBBIES_1_107,CA_1,HOBBIES_1,HOBBIES,CA,0.07475169890224778,0.2966959856064584,143,1786,93.36121275483534,3.9690868563996844
HOBBIES_1_108,CA_1,HOBBIES_1,HOBBIES,CA,1.0857292211186618,1.288414014788098,2077,788,41.19184526921067,1.1866807945544688
HOBBIES_1_109,CA_1,HOBBIES_1,HOBBIES,CA,0.4547830632514375,0.687735784965564,870,1223,63.93099843178254,1.5122282260219815
HOBBIES_1_110,CA_1,HOBBIES_1,HOBBIES,CA,0.18870883429168844,0.485606698359894,361,1612,84.26555148980658,2.573311950034563
HOBBIES_1_111,CA_1,HOBBIES_1,HOBBIES,CA,0.4992158912702561,1.110111576019147,955,1390,72.6607422895975,2.223710413533642
HOBBIES_1_112,CA_1,HOBBIES_1,HOBBIES,CA,0.10402509147935181,0.36612511208116855,199,1747,91.32253005750131,3.519584620157163
HOBBIES_1_113,CA_1,HOBBIES_1,HOBBIES,CA,0.09722948248823837,0.3999969379179257,186,1768,92.42028227914271,4.113947001274149
HOBBIES_1_114,CA_1,HOBBIES_1,HOBBIES,CA,0.21223209618400418,0.53722992093162,406,1594,83.32462101411396,2.531332115128545
HOBBIES_1_115,CA_1,HOBBIES_1,HOBBIES,CA,0.48823836905384216,1.4775137015031592,934,1536,80.29273392577105,3.0262138233142863
HOBBIES_1_116,CA_1,HOBBIES_1,HOBBIES,CA,0.2828018818609514,0.6604503431843747,541,1539,80.4495556717198,2.3353817125909586
HOBBIES_1_117,CA_1,HOBBIES_1,HOBBIES,CA,0.20230005227391532,0.45893607621916016,387,1571,82.12232096184005,2.268590991750009
